标题,阅读,评论,字数,影响力,时间
601166:兴业银行2017年第一季度报告,67671,28,1009,0.0,2017-04-29 00:45:07
兴业银行(601166)融资融券信息(05-12),9683,6,554,0.0,2017-05-13 07:54:58
我已满仓兴业银行，我是价值投资理念的人，现在,47471,104,404,0.0,2017-05-04 09:22:14
今天抄底，先拿5年翻倍再说。,7110,13,138,3.0,2017-04-17 18:45:18
负债结构仍有继续调整压力，但基本面亮点颇多,37755,8,2186,0.0,2017-05-11 18:52:34
兴业所得税率低的原因。 电话咨询过兴业，说是,6719,3,220,3.5,2017-05-01 00:03:12
兴业银行这次超预期了：2.77利润，分红0.61正常,16123,13,134,3.5,2017-04-29 00:18:53
今晚竞猜,13295,24,138,3.5,2017-04-28 11:22:55
垃圾，有的公司一下子要上传30多个文件,7922,21,138,4.0,2017-04-28 23:10:36
赞扬有眼光长久坚持持有兴业银行的广大投资者,28811,64,516,2.0,2017-04-20 13:58:22
独家专访兴业银行行长陶以平：轻型银行谋定而动,21681,19,6372,0.0,2017-05-06 06:02:15
这次兴业银行大跌是奔着9.5元的债转股去的。,10109,13,147,3.0,2017-04-21 09:05:20
愚昧无知！殊不知兴业银行未来几年已经负增长板,14256,13,162,4.0,2017-04-23 06:54:25
兴业银行PE仅次于农行，为深沪股市最低市盈率，,12218,11,306,3.0,2017-03-20 20:43:22
证监会：请依法常态化监管治市！查处操纵股价的,23853,35,349,3.5,2016-08-17 10:20:29
精神病与中国金银网就是一人,4844,13,158,3.0,2017-05-07 14:05:10
17Q1营收同比下降15.57%，资产质量改善明显,36296,2,1802,0.0,2017-05-07 14:28:54
现价买入16.06元是净资产17.80元的0.9折.,41353,86,207,4.0,2017-03-30 11:33:15
全体小股东联合起来起诉兴业银行,19179,64,140,2.5,2016-07-25 09:47:40
举报兴业银行低价定增，操纵证券价格的行为，希,5545,14,180,0.0,2017-03-21 08:51:19
大家都去证监会网站投诉增发,6432,13,850,0.0,2017-03-26 21:28:13
已经向证监会反应兴业银行大股东欺诈,9958,29,144,1.0,2017-02-22 12:25:12
养老金大规模入市将在跌破3000点时,5558,9,146,4.0,2017-01-25 10:18:05
