行情  sz300059
杭齿前进(601177)  sh601177
中国西电(601179)  sh601179
中国铁建(601186)  sh601186
龙江交通(601188)  sh601188
东兴证券(601198)  sh601198
江南水务(601199)  sh601199
上海环境(601200)  sh601200
海尔施(601206)  sh601206
东材科技(601208)  sh601208
国泰君安(601211)  sh601211
白银有色(601212)  sh601212
君正集团(601216)  sh601216
吉鑫科技(601218)  sh601218
林洋能源(601222)  sh601222
陕西煤业(601225)  sh601225
华电重工(601226)  sh601226
广州港(601228)  sh601228
上海银行(601229)  sh601229
环旭电子(601231)  sh601231
桐昆股份(601233)  sh601233
广汽集团(601238)  sh601238
庞大集团(601258)  sh601258
农业银行(601288)  sh601288
中国北车(601299)  sh601299
骆驼股份(601311)  sh601311
江南嘉捷(601313)  sh601313
中国平安(601318)  sh601318
秦港股份(601326)  sh601326
交通银行(601328)  sh601328
广深铁路(601333)  sh601333
新华保险(601336)  sh601336
百隆东方(601339)  sh601339
三六零(601360)  sh601360
利群股份(601366)  sh601366
绿城水务(601368)  sh601368
陕鼓动力(601369)  sh601369
中原证券(601375)  sh601375
兴业证券(601377)  sh601377
怡球资源(601388)  sh601388
中国中铁(601390)  sh601390
工商银行(601398)  sh601398
通用股份(601500)  sh601500
东风股份(601515)  sh601515
吉林高速(601518)  sh601518
东吴证券(601555)  sh601555
九牧王(601566)  sh601566
三星医疗(601567)  sh601567
会稽山(601579)  sh601579
北辰实业(601588)  sh601588
上海电影(601595)  sh601595
鹿港文化(601599)  sh601599
中国铝业(601600)  sh601600
中国太保(601601)  sh601601
上海医药(601607)  sh601607
中信重工(601608)  sh601608
中国核建(601611)  sh601611
广电电气(601616)  sh601616
中国中冶(601618)  sh601618
嘉泽新能(601619)  sh601619
中国人寿(601628)  sh601628
长城汽车(601633)  sh601633
旗滨集团(601636)  sh601636
平煤股份(601666)  sh601666
中国建筑(601668)  sh601668
中国电建(601669)  sh601669
明泰铝业(601677)  sh601677
滨化股份(601678)  sh601678
华泰证券(601688)  sh601688
拓普集团(601689)  sh601689
潞安环能(601699)  sh601699
风范股份(601700)  sh601700
郑煤机(601717)  sh601717
际华集团(601718)  sh601718
上海电气(601727)  sh601727
中国中车(601766)  sh601766
力帆股份(601777)  sh601777
光大证券(601788)  sh601788
宁波建工(601789)  sh601789
蓝科高新(601798)  sh601798
星宇股份(601799)  sh601799
