标题,阅读,评论,字数,影响力,时间
炒债转股资管？你不如炒东兴证券大股东资产注入,18285,16,249,3.0,2016-10-15 13:48:52
挖掘债转股AMC概念股未大涨暴涨过的大黑马牛股,18956,15,432,4.0,2016-10-14 20:17:34
东兴证券定增成功募资48亿元 完成上市后首次再,29920,7,1027,0.0,2016-10-18 14:14:51
债转股，混改是这波主题,8367,16,139,3.0,2016-10-18 11:14:08
601198:东兴证券关于净资本变动情况的公告,27570,5,684,0.0,2016-10-17 20:07:26
601198:东兴证券:验资报告,26525,7,149,0.0,2016-10-17 20:07:58
601198:东兴证券非公开发行股票发行结果暨股份,31433,9,1534,0.0,2016-10-17 20:02:28
601198:北京国枫律师事务所关于东兴证券股份有,27701,6,234,0.0,2016-10-17 20:05:33
601198:东兴证券关于签署募集资金专户存储三方,18829,8,1617,0.0,2016-10-17 20:02:27
601198:东兴证券:海通证券股份有限公司、瑞银证,19340,5,1987,0.0,2016-10-17 20:02:28
主力洗盘不要太明显啊，就把股价压着等货吃。卖,6923,13,188,3.5,2016-10-17 11:05:47
东兴证券今日超大单流入排名第15名(10-13),17376,8,297,0.0,2016-10-13 16:05:46
2016年注册制临近，小盘劵商601198将要久发，正,130110,119,191,4.0,2016-01-01 18:58:39
601198:东兴证券2016年9月财务数据简报,33737,14,497,0.0,2016-10-13 19:15:41
东兴证券，老梁的最爱，不翻倍不出来,9293,13,85,3.0,2016-10-14 10:13:55
东兴证券母公司9月净利润环比下降52%,24402,6,239,0.0,2016-10-13 22:18:34
高手指点：只要东兴拉升，大卖单就出来了？拉高,6586,6,173,2.0,2016-10-14 09:59:03
尼玛，真是一卖就涨！22.7还能见到不？,5630,9,150,3.0,2016-10-13 11:42:43
东兴要雄起？？？？？,2377,5,130,2.5,2016-10-13 09:51:21
16:38东方资产本周正式挂牌宣告完成股改 注册资,11592,12,294,1.5,2016-10-11 17:42:07
重复昨天的故事,5173,3,1395,3.5,2016-08-15 10:25:42
东兴证券(601198)大宗交易数据一览(03-09),69362,148,481,0.0,2016-03-09 18:05:32
东兴证券(601198)大宗交易数据一览(03-11),80371,183,481,0.0,2016-03-11 18:06:59
601198:东兴证券关于控股股东完成改制及更名的,34807,3,478,0.0,2016-09-29 17:21:32
21.93，又是今天的至高点,4648,14,14,4.0,2016-09-27 10:07:21
浪里个浪，大盘今天搞不好是个下跌中继,3166,8,138,4.0,2016-09-27 13:54:56
下周不收复23，就绵绵阴跌到13,4640,5,16,4.0,2016-09-24 20:03:46
21.80以下，获利盘为0的奇葩股,8271,15,17,4.0,2016-09-23 14:14:28
今天什么情况？,5964,10,140,2.5,2016-09-09 10:17:46
2016中报点评：与集团层面协同逐步深化,29140,7,1149,0.0,2016-09-14 09:45:13
东兴证券(601198)大宗交易数据一览(09-14),24644,10,487,0.0,2016-09-14 18:08:59
放心了，21.82今天的低点。庄不敢再砸了，砸就,6892,5,211,3.0,2016-09-13 10:11:04
东兴证券(601198)大宗交易数据一览(09-13),17985,7,489,0.0,2016-09-13 17:57:45
东兴证券0909,11877,81,122,4.0,2016-09-09 08:31:12
看来星期一能捡便宜了。,9448,9,132,3.0,2016-09-10 09:38:07
601198:东兴证券2016年8月财务数据简报,36502,9,470,0.0,2016-09-06 18:44:50
家印掐灭烟头，解开了爱马仕腰带说：“阿兴我来,6386,5,194,2.5,2016-09-08 01:27:05
东兴证券(601198)大宗交易数据一览(09-06),20714,8,477,0.0,2016-09-06 18:04:09
清仓了，哈哈哈,4743,7,124,2.0,2016-09-06 14:25:28
